surah_no,surah_display,surah_name,total_ayat
1,1. Al-Fatihah,Al-Fatihah,7
2,2. Al-Baqarah,Al-Baqarah,286
3,3. Ali ‘Imran,Ali ‘Imran,200
4,4. An-Nisa’,An-Nisa’,176
5,5. Al-Ma’idah,Al-Ma’idah,120
6,6. Al-An‘am,Al-An‘am,165
7,7. Al-A‘raf,Al-A‘raf,206
8,8. Al-Anfal,Al-Anfal,75
9,9. At-Taubah,At-Taubah,129
10,10. Yunus,Yunus,109
11,11. Hud,Hud,123
12,12. Yusuf,Yusuf,111
13,13. Ar-Ra‘d,Ar-Ra‘d,43
14,14. Ibrahim,Ibrahim,52
15,15. Al-Hijr,Al-Hijr,99
16,16. An-Nahl,An-Nahl,128
17,17. Al-Isra’,Al-Isra’,111
18,18. Al-Kahfi,Al-Kahfi,110
19,19. Maryam,Maryam,98
20,20. Taha,Taha,135
21,21. Al-Anbiya’,Al-Anbiya’,112
22,22. Al-Hajj,Al-Hajj,78
23,23. Al-Mu’minun,Al-Mu’minun,118
24,24. An-Nur,An-Nur,64
25,25. Al-Furqan,Al-Furqan,77
26,26. Asy-Syu‘ara’,Asy-Syu‘ara’,227
27,27. An-Naml,An-Naml,93
28,28. Al-Qasas,Al-Qasas,88
29,29. Al-‘Ankabut,Al-‘Ankabut,69
30,30. Ar-Rum,Ar-Rum,60
31,31. Luqman,Luqman,34
32,32. As-Sajdah,As-Sajdah,30
33,33. Al-Ahzab,Al-Ahzab,73
34,34. Saba’,Saba’,54
35,35. Fatir,Fatir,45
36,36. Yasin,Yasin,83
37,37. As-Saffat,As-Saffat,182
38,38. Sad,Sad,88
39,39. Az-Zumar,Az-Zumar,75
40,40. Ghafir,Ghafir,85
41,41. Fussilat,Fussilat,54
42,42. Asy-Syura,Asy-Syura,53
43,43. Az-Zukhruf,Az-Zukhruf,89
44,44. Ad-Dukhan,Ad-Dukhan,59
45,45. Al-Jathiyah,Al-Jathiyah,37
46,46. Al-Ahqaf,Al-Ahqaf,35
47,47. Muhammad,Muhammad,38
48,48. Al-Fath,Al-Fath,29
49,49. Al-Hujurat,Al-Hujurat,18
50,50. Qaf,Qaf,45
51,51. Az-Zariyat,Az-Zariyat,60
52,52. At-Tur,At-Tur,49
53,53. An-Najm,An-Najm,62
54,54. Al-Qamar,Al-Qamar,55
55,55. Ar-Rahman,Ar-Rahman,78
56,56. Al-Waqi‘ah,Al-Waqi‘ah,96
57,57. Al-Hadid,Al-Hadid,29
58,58. Al-Mujadilah,Al-Mujadilah,22
59,59. Al-Hasyr,Al-Hasyr,24
60,60. Al-Mumtahanah,Al-Mumtahanah,13
61,61. As-Saff,As-Saff,14
62,62. Al-Jumu‘ah,Al-Jumu‘ah,11
63,63. Al-Munafiqun,Al-Munafiqun,11
64,64. At-Taghabun,At-Taghabun,18
65,65. At-Talaq,At-Talaq,12
66,66. At-Tahrim,At-Tahrim,12
67,67. Al-Mulk,Al-Mulk,30
68,68. Al-Qalam,Al-Qalam,52
69,69. Al-Haqqah,Al-Haqqah,52
70,70. Al-Ma‘arij,Al-Ma‘arij,44
71,71. Nuh,Nuh,28
72,72. Al-Jin,Al-Jin,28
73,73. Al-Muzzammil,Al-Muzzammil,20
74,74. Al-Muddaththir,Al-Muddaththir,56
75,75. Al-Qiyamah,Al-Qiyamah,40
76,76. Al-Insan,Al-Insan,31
77,77. Al-Mursalat,Al-Mursalat,50
78,78. An-Naba’,An-Naba’,40
79,79. An-Nazi‘at,An-Nazi‘at,46
80,80. ‘Abasa,‘Abasa,42
81,81. At-Takwir,At-Takwir,29
82,82. Al-Infitar,Al-Infitar,19
83,83. Al-Mutaffifin,Al-Mutaffifin,36
84,84. Al-Insyiqaq,Al-Insyiqaq,25
85,85. Al-Buruj,Al-Buruj,22
86,86. At-Tariq,At-Tariq,17
87,87. Al-A‘la,Al-A‘la,19
88,88. Al-Ghasyiyah,Al-Ghasyiyah,26
89,89. Al-Fajr,Al-Fajr,30
90,90. Al-Balad,Al-Balad,20
91,91. Asy-Syams,Asy-Syams,15
92,92. Al-Lail,Al-Lail,21
93,93. Ad-Duha,Ad-Duha,11
94,94. Asy-Syarh,Asy-Syarh,8
95,95. At-Tin,At-Tin,8
96,96. Al-‘Alaq,Al-‘Alaq,19
97,97. Al-Qadr,Al-Qadr,5
98,98. Al-Bayyinah,Al-Bayyinah,8
99,99. Az-Zalzalah,Az-Zalzalah,8
100,100. Al-‘Adiyat,Al-‘Adiyat,11
101,101. Al-Qari‘ah,Al-Qari‘ah,11
102,102. At-Takathur,At-Takathur,8
103,103. Al-‘Asr,Al-‘Asr,3
104,104. Al-Humazah,Al-Humazah,9
105,105. Al-Fil,Al-Fil,5
106,106. Quraisy,Quraisy,4
107,107. Al-Ma‘un,Al-Ma‘un,7
108,108. Al-Kauthar,Al-Kauthar,3
109,109. Al-Kafirun,Al-Kafirun,6
110,110. An-Nasr,An-Nasr,3
111,111. Al-Masad,Al-Masad,5
112,112. Al-Ikhlas,Al-Ikhlas,4
113,113. Al-Falaq,Al-Falaq,5
114,114. An-Nas,An-Nas,6
